country,date_of_colonization
Afghanistan,
Antigua and Barbuda,
Australia,
The Bahamas,
Bahrain,
Barbados,
Belize,
Botswana,
Brunei,
Canada,
Cyprus,
Dominica,
Egypt,
Eswatini,
Fiji,
The Gambia,
Ghana,
Grenada,
Guyana,
India,
Ireland,
Iraq,
Israel,
Jamaica,
Jordan,
Kenya,
Kiribati,
Kuwait,
Lesotho,
Libya,
Malawi,
Malaysia,
Maldives,
Malta,
Mauritius,
Myanmar,
Nauru,
New Zealand,
Nigeria,
Pakistan,
Qatar,
Saint Lucia,
Saint Kitts and Nevis,
Saint Vincent and the Grenadines,
Seychelles,
Sierra Leone,
Solomon Islands,
South Africa,
Palestine,
Sri Lanka,
Sudan,
Tanzania,
Tonga,
Trinidad and Tobago,
Tuvalu,
Uganda,
United Arab Emirates,
United States,
Vanuatu,
Yemen,
Zambia,
Zimbabwe,
Australia,
Canada,
Ireland,
Dominion of Newfoundland,
South Africa,
New Zealand,
Hong Kong,
